ID Transporte,Data Transporte,Fazenda Origem,Placa Caminhão,Volume Estéreo (m³st),Tipo Entrega,Valor Unitário Transporte,Valor Total Transporte,Observações,Data do Registro,Fotos,Transportadora,Destino,Volume medido (m³st),Ticket
e67ffbba,17/05/2025,Lobo,NUE0A56,,Rechego,36,0,151,18/05/2025,Formulário Madeira Transportada_Images/e67ffbba.Fotos.180405.jpg,BALDO,UPC-Mata Verde,"53,08",
2e896eec,18/05/2025,Lobo,NUE0A56,,Rechego,36,0,152,18/05/2025,Formulário Madeira Transportada_Images/2e896eec.Fotos.002650.jpg,BALDO,UPC-Mata Verde,"54,74",
cf07e533,19/05/2025,Lobo,NUE0A56,,Rechego,36,0,153,19/05/2025,Formulário Madeira Transportada_Images/cf07e533.Fotos.124056.jpg,BALDO,UPC-Mata Verde,"54,74",
990e60f8,19/05/2025,LOBO,NUE0A56,,Rechego,36,0,154,19/05/2025,Formulário Madeira Transportada_Images/990e60f8.Fotos.223529.jpg,Baldo,UPC-Mata Verde,"54,54",
a316fae8,20/05/2025,Lobo,NUE0A56,,Rechego,36,0,155,21/05/2025,Formulário Madeira Transportada_Images/a316fae8.Fotos.112945.jpg,Baldo,UPC-Mata Verde,"56,4",
5fb11f5e,21/05/2025,Lobo,NUE0A56,,Rechego,36,0,156,22/05/2025,Formulário Madeira Transportada_Images/5fb11f5e.Fotos.105420.jpg,Baldo,UPC-Mata Verde,"55,16",
058dbe54,22/05/2025,Lobo,NUE0A56,,Rechego,36,0,157,22/05/2025,Formulário Madeira Transportada_Images/058dbe54.Fotos.215115.jpg,Baldo,UPC-Mata Verde,"55,16",
3b3ac426,23/05/2025,Lobo,NUE0A56,,Rechego,36,0,158,25/05/2025,Formulário Madeira Transportada_Images/3b3ac426.Fotos.130935.jpg,Baldo,UPC-Mata Verde,"55,78",
0353eaa5,23/05/2025,Lobo,OYF3D29,,Rechego,36,0,160,25/05/2025,Formulário Madeira Transportada_Images/0353eaa5.Fotos.131336.jpg,Delta,UPC-Mata Verde,"77,14",
89576146,24/05/2025,Lobo,NUE0A56,,Rechego,36,0,161,25/05/2025,Formulário Madeira Transportada_Images/89576146.Fotos.131626.jpg,Baldo,UPC-Mata Verde,"54,95",
ca8de0c0,24/05/2025,Lobo,BKS1027,,Rechego,36,0,162,25/05/2025,Formulário Madeira Transportada_Images/ca8de0c0.Fotos.131935.jpg,Ama,UPC-Mata Verde,"74,96",
bf9bf0aa,23/05/2025,Lobo,NUE0A56,,Rechego,36,0,159,26/05/2025,Formulário Madeira Transportada_Images/bf9bf0aa.Fotos.143758.jpg,Baldo,UPC-Mata Verde,"55,99",
1ee67a23,25/05/2025,Lobo,NUE0A56,,Rechego,36,0,163,26/05/2025,Formulário Madeira Transportada_Images/1ee67a23.Fotos.000519.jpg,Baldo,UPC-Mata Verde,"54,95",
c690673e,25/05/2025,Lobo,OYF3D29,,Rechego,36,0,164,26/05/2025,Formulário Madeira Transportada_Images/c690673e.Fotos.000804.jpg,Delta,UPC-Mata Verde,"77,76",
dbcdce76,25/05/2025,Lobo,BKS1027,,Rechego,36,0,165,26/05/2025,Formulário Madeira Transportada_Images/dbcdce76.Fotos.143939.jpg,AMA,UPC-Mata Verde,"123,64",
83673183,25/05/2025,Lobo,NUE0A56,,Rechego,36,0,166,26/05/2025,Formulário Madeira Transportada_Images/83673183.Fotos.144012.jpg,BALDO,UPC-Mata Verde,"56,4",
f7fd98c0,26/05/2025,Lobo,OYF3D29,,Rechego,36,0,167,26/05/2025,Formulário Madeira Transportada_Images/f7fd98c0.Fotos.144030.jpg,Delta,UPC-Mata Verde,"76,83",
fe3717bc,27/05/2025,Lobo,BKS1027,,Rechego,36,0,168,30/05/2025,Formulário Madeira Transportada_Images/fe3717bc.Fotos.114854.jpg,AMA,UPC-Mata Verde,"124,57",
5c7c4097,27/05/2025,Lobo,NUE0A56,,Rechego,36,0,169,30/05/2025,Formulário Madeira Transportada_Images/5c7c4097.Fotos.114943.jpg,BALDO,UPC-Mata Verde,"55,78",
170c2a7f,27/05/2025,Lobo,OYF3D29,,Rechego,36,0,170,30/05/2025,Formulário Madeira Transportada_Images/170c2a7f.Fotos.115003.jpg,Delta,UPC-Mata Verde,"82,11",
0ccb8975,28/05/2025,Lobo,BKS1027,,Rechego,36,0,171,30/05/2025,Formulário Madeira Transportada_Images/0ccb8975.Fotos.115030.jpg,AMA,UPC-Mata Verde,"125,04",
25845611,28/05/2025,Lobo,NUE0A56,,Rechego,36,0,172,30/05/2025,Formulário Madeira Transportada_Images/25845611.Fotos.115045.jpg,Baldo,UPC-Mata Verde,"56,82",
436f6c9c,29/05/2025,Lobo,NUE0A56,,Rechego,36,0,175,30/05/2025,,Baldo,UPC-Mata Verde,"56,82",
100dab16,29/05/2025,Lobo,BKS1027,,Rechego,36,0,174,30/05/2025,Formulário Madeira Transportada_Images/100dab16.Fotos.115103.jpg,AMA,UPC-Mata Verde,"103,68",
dc0e3301,30/05/2025,Lobo,OYF3D29,,Rechego,36,0,176,30/05/2025,Formulário Madeira Transportada_Images/dc0e3301.Fotos.203123.jpg,Delta,UPC-Mata Verde,"80,87",
fac6663b,30/05/2025,Lobo,NUE0A56,,Rechego,36,0,177,02/06/2025,,BALDO,UPC-Mata Verde,"71,23",
52a983f3,30/05/2025,Lobo,BKS1027,,Rechego,36,0,178,02/06/2025,,AMA,UPC-Mata Verde,"67,18",
c38406b6,31/05/2025,Lobo,NUE0A56,,Rechego,36,0,179,05/06/2025,Formulário Madeira Transportada_Images/c38406b6.Fotos.125648.jpg,BALDO,UPC-Mata Verde,"57,02",
cabc2e65,04/06/2025,Lobo,BKS1027,,Rechego,36,0,180,19/06/2025,,AMA,UPC-Mata Verde,"131,57",
b06e3d0b,04/06/2025,Lobo,NUE0A56,,Rechego,36,0,181,19/06/2025,,BALDO,UPC-Mata Verde,"57,23",
8eb38d71,04/06/2025,Lobo,OYF3D29,,Rechego,36,0,182,19/06/2025,,Delta,UPC-Mata Verde,"125,5",
e64df575,05/06/2025,Lobo,NUE0A56,,Rechego,36,0,183,19/06/2025,,Baldo,UPC-Mata Verde,"57,44",
c7595945,05/06/2025,Lobo,BKS1027,,Rechego,36,0,184,19/06/2025,,Ama,UPC-Mata Verde,"123,64",
c9a4c34f,05/06/2025,Lobo,NUE0A56,,Rechego,36,0,185,19/06/2025,,Baldo,UPC-Mata Verde,"59,72",
944618fe,06/06/2025,Lobo,BKS1027,,Rechego,36,0,186,19/06/2025,,Ama,UPC-Mata Verde,"131,57",
cde581e9,06/06/2025,Lobo,NUE0A56,,Rechego,36,0,187,19/06/2025,,Baldo,UPC-Mata Verde,"57,02",
7c641a3d,06/06/2025,Lobo,BKS1027,,Rechego,36,0,188,19/06/2025,,Ama,UPC-Mata Verde,"125,04",
e4db81fe,07/06/2025,Lobo,NUE0A56,,Rechego,36,0,189,19/06/2025,,Baldo,UPC-Mata Verde,"59,72",
99216b64,07/06/2025,Lobo,BKS1027,,Rechego,36,0,190,19/06/2025,,Ama,UPC-Mata Verde,"126,9",
e3bc107b,07/06/2025,Lobo,NUE0A56,,Rechego,36,0,191,19/06/2025,,Lobo,UPC-Mata Verde,"57,65",
b079cc0f,08/06/2025,Lobo,NUE0A56,,Rechego,36,0,192,19/06/2025,,Baldo,UPC-Mata Verde,"56,4",
975137c7,08/06/2025,Lobo,BKS1027,,Rechego,36,0,193,19/06/2025,,Ama,UPC-Mata Verde,"126,9",
660a6a23,08/06/2025,Lobo,NUE0A56,,Rechego,36,0,194,19/06/2025,,Baldo,UPC-Mata Verde,"57,23",
766bcb2a,09/06/2025,Lobo,NUE0A56,,Rechego,36,0,195,19/06/2025,,Baldo,UPC-Mata Verde,"57,02",
1b45ebb1,08/06/2025,Lobo,BKS1027,,Rechego,36,0,196,19/06/2025,,Ama,UPC-Mata Verde,"123,17",
db062363,10/06/2025,Lobo,BKS1027,,Rechego,36,0,197,19/06/2025,,Ama,UPC-Mata Verde,"128,77",
3954aae9,12/06/2025,Lobo,BKS1027,,Rechego,36,0,198,19/06/2025,,Ama,UPC-Mata Verde,"123,64",
109dcb3d,12/06/2025,Lobo,BKS1027,,Rechego,36,0,199,19/06/2025,,Ama,UPC-Mata Verde,"84,29",
b2dfda1c,12/06/2025,Lobo,OYF3D27,,Rechego,36,0,200,19/06/2025,,Delta,UPC-Mata Verde,"106,58",
31ad3c53,13/06/2025,Lobo,HRO9323,,Rechego,36,0,201,19/06/2025,,ELIANE VOGADO,UPC-Mata Verde,"86,47",
1d5d8053,13/06/2025,Lobo,OYF3D27,,Rechego,36,0,202,20/06/2025,,Delta,UPC-Mata Verde,"113,37",
087f9b83,14/06/2025,Lobo,HSI9C62,,Rechego,36,0,203,20/06/2025,,Maciel,UPC-Mata Verde,"86,47",
b0928683,14/06/2025,Lobo,HRO9323,,Rechego,36,0,204,20/06/2025,,Elaine vogado,UPC-Mata Verde,"93,31",
9fcd95f9,14/06/2025,Lobo,HRO9323,,Rechego,36,0,205,20/06/2025,,Elaine vogado,UPC-Mata Verde,"48,99",
355d5f7c,14/06/2025,Lobo,OYF3D27,,Rechego,36,0,206,20/06/2025,,Delta,UPC-Mata Verde,"115,24",
9e70e0c9,15/06/2025,Lobo,HSI9C62,,Rechego,36,0,207,20/06/2025,,Maciel,UPC-Mata Verde,"84,6",
1225ed68,16/06/2025,Lobo,OYF3D27,,Rechego,36,0,208,20/06/2025,,Delta,UPC-Mata Verde,"115,24",
a76d422e,16/06/2025,Lobo,HRO9323,,Rechego,36,0,209,20/06/2025,,Elaine vogado,UPC-Mata Verde,"88,96",
c4a51243,17/06/2025,Lobo,OYF3D27,,Rechego,36,0,210,20/06/2025,,Delta,UPC-Mata Verde,"119,91",
9ef1467a,17/06/2025,Lobo,HRO9323,,Estoque,30,0,211,20/06/2025,,Elaine vogado,UPC-Mata Verde,"90,51",
359cbba6,17/06/2025,Lobo,HSI9C62,,Estoque,30,0,212,20/06/2025,,Maciel,UPC-Mata Verde,"85,22",
7afc14f5,18/06/2025,Lobo,PYDZA96,,Estoque,30,0,213,20/06/2025,,Wagner,UPC-Mata Verde,"118,04",
a7f0391a,18/06/2025,Lobo,CUN4G5L,,Estoque,30,0,214,20/06/2025,,JP transporte,UPC-Mata Verde,"112,91",
56396c7b,18/06/2025,Lobo,OYF3D27,,Estoque,30,0,216,20/06/2025,,Delta,UPC-Mata Verde,"121,77",
cc2f7960,19/06/2025,Lobo,HSI9C62,,Estoque,30,0,218,20/06/2025,,Maciel,UPC-Mata Verde,"87,4",
d9eff889,18/06/2025,Lobo,HSI9C62,,Estoque,30,0,217,20/06/2025,,Maciel,UPC-Mata Verde,"87,09",
b73fafd7,18/06/2025,Lobo,HSI9C62,,Estoque,30,0,215,20/06/2025,,Maciel,UPC-Mata Verde,"88,02",
cfa71a9e,19/06/2025,Lobo,OYF3D14,,Estoque,30,0,219,20/06/2025,,Delta,UPC-Mata Verde,"118,97",
23426889,19/06/2025,Lobo,HSI9C62,,Estoque,30,0,220,20/06/2025,,Maciel,UPC-Mata Verde,"86,16",
a0b6ad2a,20/06/2025,Lobo,OYF3D14,,Estoque,30,0,221,20/06/2025,,Delta,UPC-Mata Verde,"120,37",
c97a1a5c,20/06/2025,Lobo,HRO9323,,Estoque,30,0,222,24/06/2025,,Elaine vogado,UPC-Mata Verde,93,
ed5599b6,20/06/2025,Lobo,OYF3D14,,Estoque,30,0,223,24/06/2025,,Delta,UPC-Mata Verde,"125,5",
9f422b1f,21/06/2025,Lobo,HSI9C62,,Estoque,30,0,224,24/06/2025,,Maciel,UPC-Mata Verde,"86,16",
be151fac,21/06/2025,Lobo,Elaine vogado,,Rechego,36,0,225,24/06/2025,,HRO9323,UPC-Mata Verde,"48,37",
69139fc0,21/06/2025,Lobo,HSI9C62,,Rechego,36,0,226,24/06/2025,,Maciel,UPC-Mata Verde,"86,78",
bc134719,21/06/2025,Lobo,BKS1027,,Rechego,36,0,227,24/06/2025,,Ama,UPC-Mata Verde,"126,44",
0be6c164,23/06/2025,Lobo,HSI9C62,,Estoque,30,0,228,24/06/2025,,Maciel,UPC-Mata Verde,"85,22",
62c47bde,23/06/2025,Lobo,BKS1027,,Estoque,30,0,229,24/06/2025,,Ama,UPC-Mata Verde,"129,7",
cb49f6fc,23/06/2025,Lobo,HRO9323,,Estoque,30,0,230,24/06/2025,,Elaine vogado,UPC-Mata Verde,"93,62",
5ab12355,23/06/2025,Lobo,FOF9E53,,Estoque,30,0,231,24/06/2025,,Ricardo oliveira,UPC-Mata Verde,"86,47",
053b1699,23/06/2025,Lobo,BKS1027,,Rechego,36,0,232,24/06/2025,,Ama,UPC-Mata Verde,"130,17",
de687a9d,24/06/2025,Lobo,HSI9C62,,Rechego,36,0,233,30/06/2025,,Maciel,UPC-Mata Verde,"86,47",
749debd5,25/06/2025,Lobo,HSI9C62,,Estoque,30,0,234,30/06/2025,,Maciel,UPC-Mata Verde,"88,65",
0f959235,25/06/2025,Lobo,BKS1027,,Rechego,36,0,235,30/06/2025,,Ama,UPC-Mata Verde,"130,17",
51b9c508,25/06/2025,Lobo,HRO9323,,Rechego,36,0,236,30/06/2025,,Elaine vogado,UPC-Mata Verde,"92,07",
4828e1f6,25/06/2025,Lobo,JTK3J67,,Rechego,36,0,237,30/06/2025,,Anisio,UPC-Mata Verde,"52,62",
74e8b368,26/06/2025,Lobo,HRO9323,,Estoque,30,0,238,30/06/2025,,Elaine vogado,UPC-Mata Verde,"94,87",
90aa6df2,26/06/2025,Lobo,BKS1027,,Estoque,30,0,239,30/06/2025,,AMA,UPC-Mata Verde,"125,5",
a3d784b7,26/06/2025,Lobo,ILP3J50,,Rechego,36,0,240,30/06/2025,,Misael,UPC-Mata Verde,"82,43",
855bab3b,26/06/2025,Lobo,HSI9C62,,Rechego,36,0,241,30/06/2025,,Maciel,UPC-Mata Verde,"84,6",
c7344810,26/06/2025,Lobo,IJK3167,,Rechego,36,0,242,30/06/2025,,Anisio,UPC-Mata Verde,"55,99",
a72d2411,27/06/2025,Lobo,HRO9323,,Estoque,30,0,243,30/06/2025,,Elaine vogado,UPC-Mata Verde,"94,87",
47e7adba,27/06/2025,Lobo,EJW2J87,,Estoque,30,0,244,30/06/2025,,Jonitransp,UPC-Mata Verde,"126,44",
c56fca3c,27/06/2025,Lobo,HSI9C62,,Rechego,36,0,245,30/06/2025,,Maciel,UPC-Mata Verde,"87,09",
48342ba6,27/06/2025,Lobo,JTK3J67,,Rechego,36,0,246,30/06/2025,,Anisio,UPC-Mata Verde,"54,69",
5d369cd5,27/06/2025,Lobo,ILP3J50,,Rechego,36,0,247,30/06/2025,,Misael,UPC-Mata Verde,"83,05",
b025e65b,27/06/2025,Lobo,HRO9323,,Rechego,36,0,248,30/06/2025,,Elaine vogado,UPC-Mata Verde,"93,62",
046a456b,28/06/2025,Lobo,HSI9C62,,Estoque,30,0,249,30/06/2025,,Maciel,UPC-Mata Verde,"89,27",
9ab47a8e,28/06/2025,Lobo,ILP3J50,,Rechego,36,0,250,30/06/2025,,Misael,UPC-Mata Verde,"86,16",
abd54760,28/06/2025,Lobo,HRO9323,,Rechego,36,0,251,30/06/2025,,Elaine vogado,UPC-Mata Verde,"93,93",
8a0a5ece,28/06/2025,Lobo,JTK3J67,,Rechego,36,0,252,30/06/2025,,Anisio,UPC-Mata Verde,"55,47",
376fc1ad,28/06/2025,Lobo,CVN4G51,,Estoque,30,0,253,30/06/2025,,JPtransporte,UPC-Mata Verde,"121,31",
b225f826,28/06/2025,Lobo,FOF9G53,,Rechego,36,0,254,30/06/2025,,Ricardo Oliveira,UPC-Mata Verde,"82,74",
bb81fdd9,28/06/2025,Lobo,FRY8C99,,Estoque,30,0,255,30/06/2025,,AGM,UPC-Mata Verde,"124,1",
bbcf2eb1,28/06/2025,Lobo,HSI9C62,,Estoque,30,0,256,30/06/2025,,Maciel,UPC-Mata Verde,"91,45",
2f314077,29/06/2025,Lobo,JTK3J67,,Rechego,36,0,257,30/06/2025,,Anisio,UPC-Mata Verde,"57,54",
98fac5e0,29/06/2025,Lobo,HSI9C62,,Rechego,36,0,258,30/06/2025,,Maciel,UPC-Mata Verde,"88,02",
5055adc5,29/06/2025,Lobo,FOF9E53,,Rechego,36,0,259,30/06/2025,,Ricardo Oliveira,UPC-Mata Verde,"86,78",
8a4b4830,30/06/2025,Lobo,HRO9323,,Estoque,30,0,260,01/07/2025,,ELAINE VOGADO,UPC-Mata Verde,"97,67",
9aad2001,30/06/2025,Lobo,JTK3J67,,Estoque,30,0,261,01/07/2025,,Anisio,UPC-Mata Verde,"58,06",
69c1d787,30/06/2025,Lobo,CVN4G51,,Estoque,30,0,262,01/07/2025,,JPtransporte,UPC-Mata Verde,"119,91",
2b23701d,30/06/2025,Lobo,OYF3D27,,Estoque,30,0,263,01/07/2025,,Transdelta,UPC-Mata Verde,"123,64",
c83949ac,30/06/2025,Lobo,EJW2187,,Estoque,30,0,264,01/07/2025,,Jonitransp,UPC-Mata Verde,"127,84",
6533d72b,30/06/2025,Lobo,HSI9C62,,Rechego,36,0,265,01/07/2025,,Maciel,UPC-Mata Verde,"86,47",
67697690,30/06/2025,Lobo,HRO9323,,Estoque,30,0,266,01/07/2025,,Elaine,UPC-Mata Verde,"95,49",
9b9ab3a7,30/06/2025,Lobo,FOF9E53,,Estoque,30,0,267,01/07/2025,,Ricardo Oliveira,UPC-Mata Verde,"89,58",
ce3e8e6c,30/06/2025,Lobo,OYF3D27,,Estoque,30,0,268,01/07/2025,,Delta,UPC-Mata Verde,"121,77",
46cb8d2e,01/07/2025,LOBO,ILP3J50,,Estoque,30,0,269,08/07/2025,,MISAEL,UPC-Mata Verde,"82,43",
604c7313,01/07/2025,LOBO,HS19C62,,Estoque,30,0,270,08/07/2025,,MACIEL,UPC-Mata Verde,"89,89",
2e79b43c,01/07/2025,LOBO,OYF3D27,,Estoque,30,0,271,08/07/2025,,DELTA,UPC-Mata Verde,"124,57",
a7437c71,01/07/2025,LOBO,HRO9323,,Rechego,36,0,272,08/07/2025,,ELAINE VOGADO,UPC-Mata Verde,"95,8",
36e2f985,01/07/2025,LOBO,FOF9E53,,Rechego,36,0,273,08/07/2025,,RICARDO OLIVEIRA,UPC-Mata Verde,"88,65",
034ed932,01/07/2025,LOBO,HS19C62,,Estoque,30,0,274,08/07/2025,,MACIEL,UPC-Mata Verde,"88,02",
3b57dd2e,01/07/2025,LOBO,ILP3J50,,Estoque,30,0,275,08/07/2025,,MISAEL,UPC-Mata Verde,"85,22",
4ac5d504,01/07/2025,LOBO,OYF3D27,,Estoque,30,0,276,08/07/2025,,DELTA,UPC-Mata Verde,"122,24",
2d086c0f,02/07/2025,LOBO,HRO9323,,Estoque,30,0,277,08/07/2025,,ELAINE VOGADO,UPC-Mata Verde,"97,36",
81d44361,02/07/2025,LOBO,FOF9E53,,Estoque,30,0,278,08/07/2025,,RICARDO OLIVEIRA,UPC-Mata Verde,"88,02",
c63809b1,02/07/2025,LOBO,ILP3I50,,Estoque,30,0,279,08/07/2025,,MISAEL,UPC-Mata Verde,"82,74",
c2366d8e,02/07/2025,LOBO,HSI9C62,,Rechego,36,0,280,08/07/2025,,MACIEL TRANSPORTES,UPC-Mata Verde,"88,65",
09f15341,02/07/2025,LOBO,OYF3D27,,Estoque,30,0,281,08/07/2025,,DELTA,UPC-Mata Verde,"126,44",
627a2519,02/07/2025,LOBO,BKS1027,,Estoque,30,0,282,08/07/2025,,AMA,UPC-Mata Verde,"127,84",
6830b592,02/07/2025,Lobo,JTK3J67,,Estoque,30,0,283,08/07/2025,,Anisio,UPC-Mata Verde,"56,76",
af54eb0a,02/07/2025,Lobo,ILP3J50,,Rechego,36,0,284,08/07/2025,,Misael,UPC-Mata Verde,"83,98",
53133d6b,02/07/2025,Lobo,HSI9C62,,Estoque,30,0,285,08/07/2025,,Maciel,UPC-Mata Verde,"88,96",
39281322,03/07/2025,Lobo,OYF3D27,,Estoque,30,0,286,08/07/2025,,Delta,UPC-Mata Verde,"122,71",
cda8affd,03/07/2025,Lobo,BKS1027,,Rechego,36,0,287,08/07/2025,,Ama,UPC-Mata Verde,"122,24",
2321f4c9,04/07/2025,Lobo,HRO9323,,Boca do Forno,30,0,288,08/07/2025,,Elaine,UPC-Mata Verde,"92,38",
ed9f44c5,04/07/2025,Lobo,OYF3D27,,Estoque,30,0,289,08/07/2025,,Delta,UPC-Mata Verde,"119,91",
d7b7a601,04/07/2025,Lobo,BKS1027,,Estoque,30,0,290,08/07/2025,,Ama,UPC-Mata Verde,"126,9",
e3889bfd,04/07/2025,Lobo,ILP3J50,,Estoque,30,0,291,08/07/2025,,Misael,UPC-Mata Verde,"80,87",
50704798,04/07/2025,Lobo,JTK3J67,,Estoque,30,0,292,08/07/2025,,Anisio,UPC-Mata Verde,"54,95",
0ff05013,04/07/2025,Lobo,BKS1027,,Estoque,30,0,293,08/07/2025,,Ama,UPC-Mata Verde,"127,37",
515fd0c0,05/07/2025,Lobo,OYF3D27,,Estoque,30,0,294,08/07/2025,,Delta,UPC-Mata Verde,"121,77",
6d7e7f9b,05/07/2025,Lobo,HRO9323,,Estoque,30,0,295,08/07/2025,,Elaine vogado,UPC-Mata Verde,"96,42",
